código_estación;nombre_estación;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20
255;Las Rosas;112.682;112.007;47.838;7.911;14.943;39.256;48.824;33.408;53.575;58.769;59.673;63.091
301;Legazpi;653.483;667.559;293.535;63.207;119.207;263.612;326.624;247.971;322.062;354.107;348.553;370.745
302;Delicias;349.263;350.198;152.211;21.618;47.927;117.947;145.519;110.020;149.940;168.666;166.287;169.155
303;Palos de la Frontera;245.652;241.120;102.878;16.953;34.295;83.202;103.671;81.533;105.546;122.413;119.006;122.640
304;Embajadores;557.722;579.621;248.177;39.254;76.906;182.722;229.523;176.124;247.000;293.052;287.224;294.299
305;Lavapiés;330.643;339.084;142.257;22.232;49.762;115.448;150.572;123.333;151.108;179.202;168.211;181.021
307;Callao;870.204;784.100;295.324;22.699;60.246;238.654;335.854;269.684;323.121;372.328;339.787;482.092
308;Plaza de España;778.171;789.732;304.508;29.303;68.322;206.692;280.973;219.345;291.876;313.494;304.818;344.418
309;Ventura Rodríguez;160.103;169.366;67.586;7.400;15.563;39.334;51.860;38.137;60.898;68.139;68.315;64.054
310;Argüelles;716.728;664.300;288.210;41.905;91.942;236.025;295.309;205.790;338.117;379.963;380.914;374.956
311;Moncloa;1.759.750;1.886.089;810.361;149.263;297.570;654.924;842.805;629.879;908.630;979.254;971.059;957.470
351;Almendrales;216.065;209.214;96.153;22.196;44.380;95.996;116.142;93.773;106.157;121.657;117.485;127.287
352;Hospital 12 de Octubre;175.378;178.683;89.890;32.200;47.451;80.951;93.724;75.166;83.590;94.742;94.300;92.219
353;San Fermín-Orcasur;213.092;207.581;94.636;21.264;42.224;92.736;111.140;90.517;106.137;120.337;119.583;123.754
354;Ciudad de los Ángeles;263.535;261.781;121.296;27.085;56.188;120.146;142.466;116.973;141.081;151.897;153.486;160.341
355;Villaverde Bajo-Cruce;331.146;333.656;164.280;41.927;85.513;167.984;203.467;174.230;188.856;205.207;200.328;212.647
356;San Cristóbal;144.495;142.080;76.131;24.432;49.824;87.782;99.743;86.168;91.147;100.612;98.663;103.899
357;Villaverde Alto;252.241;252.220;130.296;38.799;74.047;135.767;155.655;127.734;143.722;152.679;150.997;159.666
404;Alonso Martínez;560.570;568.471;219.814;24.012;55.329;147.542;183.671;116.552;203.446;227.490;224.955;226.360
405;Colón;39.289;0;13.805;3.103;6.777;20.145;27.904;18.671;30.784;36.823;34.382;40.810
406;Serrano;93.513;0;31.590;6.520;18.556;56.458;78.020;54.092;80.386;90.945;87.252;98.653
407;Velázquez;58.198;0;28.783;7.946;20.065;52.899;66.685;46.302;75.142;80.403;80.561;82.826
409;Lista;41.110;0;19.160;5.401;13.051;35.841;47.205;32.206;55.616;65.338;64.372;63.528
410;Diego de León;525.670;525.254;236.794;52.079;91.710;196.506;235.038;162.472;248.908;278.147;280.685;269.064
411;Avenida de América;1.311.165;1.390.388;587.545;94.079;182.444;394.663;511.245;383.003;529.529;545.653;547.406;534.746
412;Prosperidad;57.482;0;17.821;12.641;26.982;60.420;77.761;58.478;82.097;90.353;90.540;92.999
413;Alfonso XIII;77.185;0;27.663;14.976;31.807;80.511;101.247;69.789;108.957;117.375;119.384;114.113
414;Avenida de La Paz;33.001;0;10.028;5.941;13.034;31.664;37.182;24.421;43.387;47.890;49.660;46.334
415;Arturo Soria;44.152;0;17.428;12.698;25.696;55.445;65.893;47.901;77.803;83.659;84.702;83.274
416;Esperanza;39.528;0;14.032;9.861;19.437;42.312;52.050;36.828;66.350;72.084;69.592;70.226
417;Canillas;71.375;0;20.395;14.234;28.932;68.306;84.701;61.408;91.849;100.021;99.398;107.784
418;Mar de Cristal;392.574;442.100;175.918;25.846;46.431;103.617;127.306;95.279;137.282;144.614;149.128;144.618
419;San Lorenzo;40.859;0;17.305;11.315;20.647;42.345;53.503;40.824;56.482;60.035;61.692;60.206
420;Parque de Santa María;35.729;0;13.682;9.852;18.196;39.701;47.614;38.217;49.773;54.096;53.985;55.171
421;Hortaleza;33.559;0;14.413;10.717;19.934;41.156;49.259;40.704;54.899;61.775;61.250;61.802
422;Manoteras;26.664;0;11.249;9.046;16.704;34.189;39.934;32.918;43.311;46.711;46.422;47.509
501;Canillejas;202.516;208.968;95.739;18.639;37.180;82.039;102.221;83.735;103.429;107.559;105.596;109.899
502;Torre Arias;145.854;147.300;67.888;12.500;25.590;56.034;68.157;54.481;69.823;74.655;75.834;74.319
