código_estación;nombre_estación;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21
304;Embajadores;259.364;289.770;;;;;;;;;;
305;Lavapiés;166.644;177.521;;;;;;;;;;
307;Callao;373.510;353.163;;;;;;;;;;
308;Plaza de España;273.333;314.497;;;;;;;;;;
309;Ventura Rodríguez;59.001;71.306;;;;;;;;;;
310;Argüelles;354.801;397.960;;;;;;;;;;
311;Moncloa;743.452;983.820;;;;;;;;;;
351;Almendrales;123.042;121.666;;;;;;;;;;
352;Hospital 12 de Octubre;111.164;98.027;;;;;;;;;;
353;San Fermín-Orcasur;121.274;122.163;;;;;;;;;;
354;Ciudad de los Ángeles;155.014;152.439;;;;;;;;;;
355;Villaverde Bajo-Cruce;208.156;207.215;;;;;;;;;;
356;San Cristóbal;104.350;101.269;;;;;;;;;;
357;Villaverde Alto;163.911;159.127;;;;;;;;;;
404;Alonso Martínez;204.666;229.443;;;;;;;;;;
405;Colón;36.545;36.967;;;;;;;;;;
406;Serrano;102.560;95.253;;;;;;;;;;
407;Velázquez;84.279;85.293;;;;;;;;;;
409;Lista;61.573;67.242;;;;;;;;;;
410;Diego de León;266.365;282.081;;;;;;;;;;
411;Avenida de América;456.456;542.603;;;;;;;;;;
412;Prosperidad;94.606;94.351;;;;;;;;;;
413;Alfonso XIII;116.230;120.907;;;;;;;;;;
414;Avenida de La Paz;49.845;48.359;;;;;;;;;;
415;Arturo Soria;98.653;85.574;;;;;;;;;;
416;Esperanza;65.423;70.273;;;;;;;;;;
417;Canillas;107.154;98.711;;;;;;;;;;
418;Mar de Cristal;130.362;142.041;;;;;;;;;;
419;San Lorenzo;64.257;61.595;;;;;;;;;;
420;Parque de Santa María;58.695;52.720;;;;;;;;;;
421;Hortaleza;65.769;62.156;;;;;;;;;;
422;Manoteras;51.756;46.878;;;;;;;;;;
501;Canillejas;109.223;104.057;;;;;;;;;;
502;Torre Arias;79.449;74.924;;;;;;;;;;
503;Suanzes;74.178;79.512;;;;;;;;;;
504;Ciudad Lineal;145.970;140.382;;;;;;;;;;
505;Pueblo Nuevo;205.658;198.009;;;;;;;;;;
506;Quintana;129.929;127.786;;;;;;;;;;
507;El Carmen;169.020;162.006;;;;;;;;;;
510;Núñez de Balboa;170.290;174.694;;;;;;;;;;
511;Rubén Darío;81.071;89.026;;;;;;;;;;
513;Chueca;100.854;106.178;;;;;;;;;;
517;La Latina;141.038;150.795;;;;;;;;;;
518;Puerta de Toledo;79.875;82.226;;;;;;;;;;
